Version,Slot ID,LiDAR Index,Rsvd,Error Code,Timestamp Type,     Data Type,Timestamp,X,Y,Z,Reflectivity,Tag,Ori_x,Ori_y,Ori_z,Ori_radius,Ori_theta,Ori_phi
5,1,1,0,0x00000000,0,0,443884049790,22.075001,-0.212000,1.854000,12,0,22075,-212,1854,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,22.084999,-0.213000,1.809000,50,0,22085,-213,1809,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,22.039000,-0.214000,1.758000,58,0,22039,-214,1758,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.294001,-0.208000,1.609000,17,0,21294,-208,1609,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.290001,-0.208000,1.565000,9,0,21290,-208,1565,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.200001,-0.208000,1.514000,8,0,21200,-208,1514,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.559999,-0.212000,1.493000,9,0,21560,-212,1493,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.181999,-0.208000,1.422000,8,0,21182,-208,1422,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.157000,-0.208000,1.376000,8,0,21157,-208,1376,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,20.993000,-0.206000,1.321000,100,0,20993,-206,1321,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,20.825001,-0.204000,1.267000,8,0,20825,-204,1267,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.047001,-0.206000,1.236000,18,0,21047,-206,1236,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,20.777000,-0.203000,1.176000,8,0,20777,-203,1176,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,20.802999,-0.202000,1.134000,8,0,20803,-202,1134,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,20.941999,-0.203000,1.097000,10,0,20942,-203,1097,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,20.722000,-0.200000,1.042000,38,0,20722,-200,1042,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,20.687000,-0.198000,0.996000,51,0,20687,-198,996,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,20.921000,-0.199000,0.963000,32,0,20921,-199,963,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.035000,-0.199000,0.925000,43,0,21035,-199,925,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.052000,-0.197000,0.881000,21,0,21052,-197,881,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,20.655001,-0.192000,0.820000,97,0,20655,-192,820,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,20.677999,-0.190000,0.777000,45,0,20678,-190,777,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.681999,-0.198000,0.770000,32,0,21682,-198,770,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.652000,-0.195000,0.723000,32,0,21652,-195,723,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.223000,-0.189000,0.663000,21,0,21223,-189,663,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,20.747000,-0.182000,0.604000,98,0,20747,-182,604,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,20.649000,-0.179000,0.558000,25,0,20649,-179,558,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,20.768999,-0.177000,0.517000,11,0,20769,-177,517,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,20.747000,-0.174000,0.472000,6,0,20747,-174,472,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,23.743000,-0.196000,0.490000,20,0,23743,-196,490,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,23.726999,-0.192000,0.439000,5,0,23727,-192,439,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,37.616001,-0.299000,0.616000,13,0,37616,-299,616,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,37.396999,-0.291000,0.533000,14,0,37397,-291,533,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,37.286999,-0.284000,0.452000,15,0,37287,-284,452,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,37.313000,-0.278000,0.373000,23,0,37313,-278,373,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,37.452999,-0.272000,0.296000,33,0,37453,-272,296,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,37.564999,-0.266000,0.217000,40,0,37565,-266,217,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,37.640999,-0.259000,0.139000,44,0,37641,-259,139,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,37.659000,-0.251000,0.059000,48,0,37659,-250,59,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,37.652000,-0.243000,-0.020000,47,0,37652,-243,-20,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,37.638000,-0.235000,-0.100000,47,0,37638,-235,-100,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,37.637001,-0.227000,-0.180000,45,0,37637,-227,-180,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,37.634998,-0.218000,-0.260000,42,0,37635,-218,-260,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,37.620998,-0.209000,-0.338000,38,0,37621,-209,-338,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,37.617001,-0.200000,-0.418000,40,0,37617,-200,-418,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,37.612000,-0.190000,-0.497000,41,0,37612,-190,-497,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,37.603001,-0.181000,-0.577000,43,0,37603,-181,-577,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,37.598999,-0.171000,-0.656000,42,0,37599,-171,-656,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,37.594002,-0.160000,-0.736000,39,0,37594,-160,-736,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,37.576000,-0.150000,-0.813000,45,0,37576,-150,-813,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,24.989000,-0.092000,-0.593000,1,0,24989,-92,-593,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,24.799000,-0.085000,-0.640000,3,0,24799,-85,-640,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,24.652000,-0.077000,-0.688000,5,0,24652,-77,-688,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,24.534000,-0.069000,-0.736000,5,0,24534,-69,-736,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,24.518000,-0.061000,-0.787000,5,0,24518,-61,-787,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,24.511000,-0.054000,-0.838000,5,0,24511,-54,-838,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,24.503000,-0.046000,-0.889000,5,0,24503,-46,-889,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,24.493999,-0.038000,-0.939000,5,0,24494,-38,-939,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,24.525999,-0.029000,-0.992000,5,0,24526,-29,-992,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,24.511999,-0.021000,-1.042000,12,0,24512,-21,-1042,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,24.521000,-0.012000,-1.094000,35,0,24521,-12,-1094,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,24.528999,-0.004000,-1.145000,57,0,24529,-4,-1145,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,24.534000,0.004000,-1.196000,47,0,24534,4,-1196,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,24.514000,0.013000,-1.246000,57,0,24514,13,-1246,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,24.523001,0.022000,-1.296000,49,0,24523,22,-1296,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,24.509001,0.031000,-1.346000,46,0,24509,31,-1346,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,24.507000,0.041000,-1.397000,38,0,24507,41,-1397,0,0,0
